# Completeness = 2999/1142679769
ra_ep2000	dec_ep2000	errHalfMaj	errHalfMin	errPosAng	ra	dec	source_id	ref_epoch	ra_error	dec_error	parallax	parallax_error	pm.ra	pm.ra_error	pm.dec	pm.dec_error	ra_dec_corr	duplicated_source	phot_g_n_obs	phot_g_mean_flux	phot_g_mean_flux_error	phot_g_mean_mag	phot_variable_flag	l	b
79.6680298780	40.4651231691	0.00084	0.00060	90	79.6680570578	40.4650652890	188796557490084480	2015.0	0.572	0.462	4.13	0.47	4.963	0.041	-13.891	0.026	-0.602	0	57	8.67402e+07	2.13702e+05	5.679	NOT_AVAILABLE	167.3288169332	1.6778382030
81.1866681564	36.1999456372	0.00059	0.00041	90	81.1866643655	36.1999087891	184157030739849856	2015.0	0.234	0.259	1.50	0.31	-0.734	0.036	-8.844	0.021	-0.283	0	76	8.29489e+07	1.91050e+05	5.728	NOT_AVAILABLE	171.5155150771	0.2335232647
81.7136793244	33.2622591417	0.00067	0.00053	90	81.7137319765	33.2622100197	182412724263963520	2015.0	0.475	0.426	8.48	0.44	10.566	0.032	-11.789	0.021	-0.578	0	76	7.83368e+07	1.33930e+05	5.790	NOT_AVAILABLE	174.1923137967	-1.0521743379
81.7033522486	34.3918097220	0.00050	0.00040	90	81.7033609122	34.3917789708	182820780514927616	2015.0	0.257	0.294	1.69	0.38	1.716	0.029	-7.380	0.019	-0.263	0	69	7.36351e+07	2.46406e+05	5.857	NOT_AVAILABLE	173.2497645875	-0.4294717690
79.0756218342	34.3123178645	0.00077	0.00053	90	79.0755982996	34.3124994837	182071566417283328	2015.0	0.301	0.303	2.63	0.36	-4.665	0.048	43.589	0.029	-0.388	0	70	6.98061e+07	1.71403e+05	5.915	NOT_AVAILABLE	172.0811516011	-2.2591465692
84.6827983709	41.8392212561	0.00068	0.00055	90	84.6830827237	41.8390645807	192902305706680192	2015.0	0.351	0.328	5.71	0.37	50.844	0.039	-37.602	0.029	-0.397	0	58	6.78890e+07	8.53148e+04	5.945	NOT_AVAILABLE	168.2663084801	5.5849997890
84.7860583337	41.3580682321	0.00021	0.00017	0	84.7860583337	41.3580682321	192832692879861888	2015.0	0.165	0.206							-0.335	0	93	5.89677e+07	3.58421e+04	6.098	NOT_AVAILABLE	168.7176948815	5.3968416578
82.2546122549	42.2705174760	0.00075	0.00061	90	82.2548100491	42.2703931676	195379230526775936	2015.0	0.265	0.297	6.79	0.27	35.127	0.047	-29.834	0.035	-0.557	0	76	5.15435e+07	4.05283e+04	6.244	NOT_AVAILABLE	166.9269839399	4.2980660544
86.4562806077	40.5072366267	0.00197	0.00167	90	86.4561295761	40.5072261778	191797846277924224	2015.0	1.606	1.369	16.06	0.35	-27.560	0.076	-2.508	0.064	-0.974	0	41	4.05920e+07	3.29477e+04	6.504	NOT_AVAILABLE	170.1073221751	6.0322890227
87.2159116476	39.5336080840	0.00249	0.00210	90	87.2159126671	39.5335074128	191509361913846016	2015.0	2.047	1.742	6.08	0.31	0.189	0.095	-24.161	0.078	-0.988	0	43	4.01506e+07	2.49889e+04	6.516	NOT_AVAILABLE	171.2479436963	6.0361753177
75.8276541413	41.4416418698	0.00038	0.00037	90	75.8276541413	41.4416418698	200959664354158336	2015.0	0.385	0.374							0.031	0	65	6.30532e+07	1.20463e+05	6.026	NOT_AVAILABLE	164.8245619291	-0.0813232487
